boro,CD,abused_kids_cd,accidents_death_cd,afterschool_prog_cd,air_qual_cd,alzheimers_deaths_cd,any_exercise_cd,binge_drinking_cd,birth_rate_cd,births_cd,cancer_deaths_cd,chem_air_cd,clean_streets_cd,current_smoker_cd,death_rate_cd,deaths_cd,diabetes_cd,diabetes_deaths_cd,diversion_cd,family_homeless_cd,fd_staff_cd,foreclosure_cd,foster_care_cd,fruits_veggies_cd,health_insurance_cd,healthy_food_sq_footage_cd,heart_disease_deaths_cd,heat_h20_complaints_cd,hiv_test_cd,homeless_children_rate_cd,homeless_children_total_cd,hypertension_deaths_cd,infant_mortality _cd,influenza_deaths_cd,lead_complaints_cd,lead_kids_cd,life_expectancy_cd,low_birth_wght_cd,lower_resp_deaths_cd,medical_respon_cd,non_medical_respon_cd,obesity_cd,pre_term_birth_cd,prenatal_care_cd,residential_fires_cd,sanitation_budget_cd,stroke_death_cd,substance_abuse_related_deaths_cd,sugary_drink_cd,teen_birth_cd,vac_flu_cd,vac_hpv_cd,waste_cd,heat_per_1000_cd,paint_per_1000_cd,sanitation_per_1000_cd,water_per_1000_cd,noise_per_1000_cd,sewer_per_1000_cd,rodent_per_1000_cd,streetsafety_per_1000_cd,homeless_per_1000_cd,bulgaries_cd,felony_assaults_cd,grand_larceny_cd,motor_vehicle_thefts_cd,homicides_cd,robberies_cd,major_felonies_cd,burglaries_per_1000_cd,felony_assaults_per_1000_cd,grand_larcenies_per_1000_cd,motor_vehicle_thefts_per_1000_cd,homicides_per_1000_cd,robberies_per_1000_cd,major_felonies_per_1000_cd,voter_turnout_2014_cd,voted_last_three_years_cd,residential_land_cd,citu_land_cd,park_recreation_land_cd,vacant_parking_land_cd,dem_female_cd,dem_male_cd,rep_female_cd,rep_male_cd,unaff_female_cd,unaff_male_cd,other_female_cd,other_male_cd,dem_cd,rep_cd,unaff_cd,other_cd,female_voter_cd,male_voter_cd,self_reported_health_good_cd,self_reported_health_cd,jail_incar_cd,foreclosure_09_cd,foreclosure_05_cd,prematuremortality_cd,avoidable_asthma_cd,avoidable_diabetes_cd,psychhosp_rate_cd,asthma5to14_cd,alchosp_cd,drughosp_cd,assaulthosp_cd,hiv_deaths_cd
2,201,41.6,14.4,1919147,10,14.1,28.6,17.1,16.6,1562,154.8,112.41,92.5,16.3,7.4,"2,665",13.1,31.9,4.934534157,11.82054,199,20.609319,147,23,75.8,133,201.8,2783,20.1,33.89521306,929,12.9,6.6,29.3,844,2,76.11628278,8.8,30,4184,5255,31.7,9.1,11.1,520,3217502,29.8,20.9,39.7,39.4739,49.4,57,0.261307,38.64,11.15,18.13,12.79486433,10.67,2.481735189,3.27,8.79,0.582448054,131,453,439,104,7,381,1515,2.038568191,4.95713942,5.147068134,1.120579409,0.069640528,3.982172025,17.31516771,16.069,45.082,35.365,37.805,6.571,20.26,87.42,84.45,2.74,4.24,8.01,8.44,1.82,2.88,86.36,3.28,8.17,2.2,64.41,35.59,71.271,28.729,305,24.3,9.7,305.7,749,740,848,112,2333,2669,180,26.4
2,202,42,14,2064932,9.8,13.1,28.6,17.1,16.6,896,150.8,,91.2,16.3,6.8,"1,341",13.1,28.6,8.703898915,12.58844,43,34.74114441,95,23,75.8,114,204.2,2782,20.1,34.68229261,539,11.3,7.8,29.2,761,5,77.5941876,9.2,22,1380,1362,31.7,9.9,14.7,171,3506855,18.1,18.7,39.7,41.30914,49.4,63,0.261307,38.64,11.15,18.13,12.79486433,10.67,2.481735189,3.27,8.79,0.582448054,191,330,374,73,4,248,1220,2.038568191,4.95713942,5.147068134,1.120579409,0.069640528,3.982172025,17.31516771,16.069,45.082,18.697,51.77,8.511,21.022,87.37,84.14,2.85,3.97,8.12,9,1.66,2.9,86.2,3.25,8.44,2.11,63.89,36.11,71.271,28.729,234,40.3,25.5,266.8,619,608,868,88,1905,2218,138,17.3
2,203,35.7,13.2,704824,9.4,6.9,27.4,16.9,17.2,1402,184.8,103,91.1,19.5,8.1,"2,401",13.7,40.7,6.220565326,12.80949,104,36.57978967,109,21,76.1,327,210.1,2628,17.4,33.82453272,834,20.1,7.7,41.4,786,2,75.33829101,9.8,33.4,2869,3459,35,11.1,15.6,489,1799973,27.1,17.9,42,35.18081,46.2,61,0.282632,59,16.85,23.15,13.29539176,11.82,1.889157543,4.14,5.53,0.219807639,171,402,278,97,5,287,1240,2.566402699,5.281324074,4.461500989,1.003986241,0.089111205,3.879307784,17.45391466,16.925,47.889,44.566,14.582,20.168,20.684,88.02,85.2,2.71,3.52,7.6,8.03,1.68,3.25,87.04,2.99,7.75,2.22,65.2,34.8,69.46,30.54,371,29,18,346.3,769,689,1220,89,2367,3130,166,42.1
2,204,38.3,10.7,1475984,10,7,27,15.3,16.8,2531,155.9,,92.7,18,6.9,"3,972",13.7,30.8,7.639643383,8.8475,115,53.04101839,202,20.5,72.3,168,193.9,10259,16.7,24.68186853,1033,17.9,5.5,41.5,2906,5,77.03692377,9.4,25.7,4380,4421,28.6,9.7,13.6,490,4185975,20.1,14,37.6,38.21186,48,57,0.359948,71.62,25.84,27.31,21.78256245,19.09,2.076925288,4.28,4.41,0.316210078,241,673,632,162,15,406,2129,1.731968839,4.836576882,4.541926582,1.164228016,0.10779889,2.917756633,15.30025584,21.826,54.275,42.084,17.248,18.576,22.092,88.49,85.11,2.31,3.46,7.69,8.69,1.51,2.74,87.24,2.74,8.06,1.96,63,37,70.553,29.447,163,47.7,20.2,265.7,596,533,809,55,1801,2027,119,30
2,205,37.2,11.3,1260841,10.1,6.8,26.3,19.3,17.6,2321,137.4,,92.6,18.7,6.3,"2,810",12.1,26.7,9.409868766,9.53782,113,43.87568556,112,20.2,72.7,93,172.3,8639,13.3,25.75440462,970,11.9,5.4,37.4,2460,11,78.90649968,8.7,23.8,4326,4120,30.1,10.1,12.1,577,4093292,25.7,16.3,45.6,45.32803,45.3,51,0.308467,80.14,23.72,27.06,20.59505093,10.54,1.207090539,5.01,3,0.238437637,183,487,411,105,13,309,1508,1.363565239,3.628722794,3.062433405,0.782373498,0.09686529,2.302413436,11.23637366,18.628,50.018,60.03,10.927,8.742,20.3,87.63,84.11,3.11,4.59,7.74,8.84,1.52,2.46,86.35,3.64,8.14,1.86,63.75,36.25,71.764,28.236,230,41.2,20.7,266.2,571,616,1005,55,1931,2342,123,27
2,206,38.3,13.8,1844969,9.5,10.2,27.4,16.9,15.7,1338,167.7,,95.3,19.5,7.5,"2,257",13.7,44.6,10.00453606,12.41038,198,34.13284133,116,21,76.1,69,208.7,4054,17.4,37.55385857,947,16.5,8.7,33.9,1530,4,76.71978951,11.7,27.5,2884,2453,35,12.3,12.4,353,4406178,23.5,22.5,42,38.68326,46.2,51,0.282632,59,16.85,23.15,13.29539176,11.82,1.889157543,4.14,5.53,0.219807639,261,487,473,72,10,366,1669,2.566402699,5.281324074,4.461500989,1.003986241,0.089111205,3.879307784,17.45391466,16.925,47.889,43.919,15.427,6.259,34.396,87.49,83.19,2.64,4.71,7.83,9.16,2.04,2.94,85.98,3.37,8.3,2.36,64.74,35.26,69.46,30.54,220,38.2,16.1,297.5,786,687,1084,87,2163,2760,142,23.7
2,207,34.1,14,2129057,9.4,9.8,24.4,17.9,15.6,2242,143.5,,93.4,13.1,6.8,"3,786",13.5,27.3,10.95584749,6.81617,119,34.22273782,95,19.1,70,114,232.1,11626,28,16.87758548,637,14.5,3.9,30.1,2452,13,78.73744457,10.4,31.7,3379,3462,26.8,7.7,11.6,422,4454493,24.3,12.7,38.6,49.22067,45,48,0.350677,113.85,28.57,27.91,20.18651108,21.77,1.648538135,3.88,5.89,0.218188871,346,520,594,105,7,397,1969,2.796049973,4.202156029,4.800155157,0.848512275,0.056567485,3.208184507,15.91162543,20.218,50.978,48.102,12.217,7.7,31.981,85.94,81.06,3.36,5.32,8.89,10.51,1.81,3.11,84.11,4.09,9.5,2.3,62.51,37.49,74.031,25.969,135,31.7,16,220,507,431,675,59,1659,1589,93,14
2,208,37.6,8.1,460152,8.9,10.8,22.7,15.7,11.2,1159,141.6,,97.3,12,6,"4,985",6.8,17.7,16.74396239,1.2264,99,10.82862524,30,12.8,80.5,142,225.6,4556,36.1,5.021835674,108,14.1,4.1,26.6,460,2,80.45995245,7.1,18.4,1907,2474,19.8,8.6,6.4,243,3923019,15.3,6.5,21.4,17.0106,50.5,34,0.266786,52.54,10.17,14.32,11.6523845,9.63,1.97466468,2.5,9.31,0.195603577,154,110,402,69,1,119,855,1.43442623,1.024590164,3.744411326,0.642697466,0.009314456,1.108420268,7.963859911,26.03,51.252,44.775,5.829,15.919,33.477,80.1,70.87,6.6,10.67,10.64,14.01,2.65,4.45,76.49,8.2,11.96,3.35,60.86,39.14,81.397,18.603,28,15.6,4.5,165.9,192,248,546,30,797,723,42,5.4
2,209,37.1,9.4,2023685,8.9,8.9,25.4,16.1,13.7,2425,154.9,19.8,93.7,15.7,6.5,"4,966",12.9,26.9,7.547203129,5.76518,117,14.18599415,136,22,74.6,181,204.2,5289,20.6,18.53743048,835,14.1,4.4,31.6,1258,5,78.73024326,10.2,19.9,4456,4706,29,10.2,13,527,4705862,17,11.7,36.8,33.89831,42.2,43,0.243922,40.4,9.03,15.93,9.254031499,9.73,2.140095605,1.92,10.7,0.139805241,300,595,608,168,9,493,2173,1.613137391,3.199389159,3.269291779,0.903356939,0.048394122,2.650922446,11.68449183,18.258,47.261,55.231,10.881,19.507,14.38,87.18,82.24,3.04,4.87,7.91,9.52,1.86,3.37,85.34,3.73,8.51,2.42,62.64,37.36,72.134,27.866,129,14.7,6.5,230.7,452,443,554,74,1260,1197,106,10.2
2,210,33.2,11.7,2457378,8.7,8,27.2,12.7,7.8,952,168.5,,98.8,17.6,6,"5,082",18.5,17.6,15.41689944,1.63541,141,15.00110302,23,11.5,90.4,290,198,1822,43.4,6.583819026,164,9.6,3.1,27.7,169,3,80.45010898,9.5,25.7,3202,3167,35.9,11.1,11.9,332,5011305,15.1,9.9,26.1,14.51451,43.3,29,0.240634,16.36,4.2,17.17,7.779762872,6.95,3.288939419,2.03,22.3,0.162416761,137,144,374,116,0,135,906,1.112554816,1.169400682,3.037193438,0.942017216,0,1.09631314,7.357479292,21.167,46.307,46.745,10.142,14.323,28.791,77.21,68.12,10.04,14.45,9.56,12.1,3.19,5.33,73.67,11.75,10.55,4.03,61.04,38.96,77.204,22.796,32,16.3,5.4,196.4,235,272,394,39,846,682,57,3.9
2,211,29.4,12.2,1261584,8.7,8.8,26.6,17.8,11.9,1374,159.8,,97.3,16.7,6.9,"4,563",14.6,25,13.44391482,3.3356,76,15.50811896,61,18.5,83.6,140,226.7,4209,31.1,12.75849363,340,14.7,5,36.9,561,7,79.13696539,8.2,26.9,2967,3305,31.9,10.8,10,328,5159416,17.1,10.6,28.5,19.74204,42.8,39,0.284266,44.11,12.66,19.59,11.02520046,7.95,2.847779051,3.44,18.02,0.103410971,184,162,344,124,6,150,970,1.463662976,1.288659794,2.736413389,0.986381571,0.047728141,1.193203513,7.716049383,15.902,39.212,65.185,12.121,0.751,21.942,78.23,70.54,8.69,12.8,10.4,12.23,2.68,4.43,75.19,10.32,11.12,3.37,60.43,39.57,"76.188",23.812,93,19.2,9.1,210.2,329,335,625,51,1096,930,70,9
2,212,35.1,11.3,1839402,8.7,7,21.6,16.3,11.2,1731,142.3,,95.6,13.7,5.9,"4,419",11,23.9,14.29428723,7.16512,165,34.74925578,134,15.1,77.6,109,177.8,4963,23,20.04123124,770,10.6,7.8,27,891,9,80.16739759,10.6,19.9,3198,4013,35.4,9.9,13.9,467,5939200,19.8,7,36.5,26.55486,40,36,0.319219,48.17,15.19,28.3,15.6516349,6.68,3.641717031,3.61,11.17,0.183142443,357,520,413,188,16,398,1892,2.514686615,3.662848851,2.909147261,1.324260738,0.112703042,2.803488159,13.32713467,21.806,53.321,57.714,10.298,20.897,11.092,87.04,81.57,3.27,5.39,7.75,9.36,1.94,3.67,85.05,4.04,8.34,2.57,63.61,36.39,77.788,22.212,127,33.6,15,207.4,501,524,596,74,1283,1275,92,11.4
1,101,32,6.7,643269,11.1,10.9,12.5,36.4,18.2,1143,119.8,,96.1,15.5,4.1,840,3,9.8,29.27665128,0.31827,175,3.39443313,7,4.5,89.6,172,109,426,33.8,6.062858331,53,9,1.5,21.5,15,1,85.39693182,7.6,14.1,2426,2791,8.7,7.2,1.5,117,3606117,18.8,4,13.4,0,43.4,40,0.264751,17.09,3.11,12.35,9.765702169,85.72,3.384741008,3.82,24.81,6.539003543,85,84,670,18,0,48,905,2.462827115,1.692370504,15.06670706,0.553148336,0.019755298,1.21165826,21.00646657,21.879,50.391,18.541,41.669,4.375,35.415,64.34,55.6,13.72,18.51,16.63,20.73,5.31,5.15,60.38,15.89,18.49,5.24,54.71,45.29,89.799,10.201,15,20.7,1.5,75.6,80,98,259,8,509,404,20,2.8
1,102,22.2,8.1,316800,10.9,7.3,12.5,36.4,8.6,793,131.3,,96.1,15.5,4.3,"2,103",3,9,26.49801492,0.12936,157,2.045587376,2,4.5,89.6,252,125.3,1604,33.8,1.07563645,9,3.7,2,16.6,35,0,84.30421105,7.8,16.1,3698,3668,8.7,7.6,2.2,222,5306242,14.2,6.8,13.4,1.50801,43.4,38,0.264751,17.09,3.11,12.35,9.765702169,85.72,3.384741008,3.82,24.81,6.539003543,289,173,1618,66,3,136,2285,2.462827115,1.692370504,15.06670706,0.553148336,0.019755298,1.21165826,21.00646657,21.879,50.391,45.904,35.579,3.666,14.851,74.69,67.11,7.43,10.49,14.05,18.48,3.84,3.92,71.19,8.84,16.1,3.88,53.79,46.21,89.799,10.201,19,5.2,1.5,93.3,46,54,300,7,485,334,12,3.3
1,103,41.7,11.7,2993938,9.9,5.8,19.6,20.8,9.3,1563,148.9,,90.1,16.9,5.7,"5,741",11,20.8,13.09848995,1.81211,209,1.833180568,109,7,82.9,229,155.6,4254,37.8,11.10156501,250,10.5,2.4,23.7,144,1,80.89845111,7.4,20.7,5866,5616,11.8,8.4,4.8,543,6560701,24.7,9.1,22.1,13.05582,43.1,60,0.214429,22.38,4.31,11.69,9.432771215,40.82,2.074127514,3.78,8.54,2.248474464,188,324,1097,66,3,215,1893,1.130249196,1.947876274,6.595124297,0.396789611,0.018035891,1.292572219,11.38064749,17.285,42.6,57.163,9.467,15.918,17.452,80.28,72.9,4.72,7.28,11.9,16.02,3.1,3.8,77.15,5.8,13.65,3.4,57.61,42.39,72.111,27.889,117,5.9,0.5,183,265,275,723,25,1144,980,45,12
1,104,41.3,13.4,569063,11.4,10.5,9.7,31.4,9,958,134.8,,95,13.5,5.2,"2,680",3.1,13.6,23.12284619,0.85086,94,4.64610518,45,7.2,86.7,274,155,2325,29.5,7.620354843,69,10.2,4.9,21.6,78,0,82.00200603,8.5,17.8,4125,3373,10.4,9,5.4,257,5471475,17.8,9,19.4,10.64716,41.1,45,0.29854,28.85,5.23,16.23,18.97032152,80.85,5.732789471,3.79,17.4,9.394825897,260,282,1770,74,1,215,2602,4.975366377,3.592548069,37.93369421,0.764371929,0.013897671,3.043590046,50.3234683,23.466,54.099,33.101,45.852,1.963,19.085,73.84,71.99,7.55,8.35,14.28,15.68,4.33,3.98,72.9,7.96,14.99,4.15,49.4,50.6,84.396,15.604,73,6.4,0.8,140.5,161,156,989,20,1299,1118,41,8.4
1,105,48.6,6.9,591227,14.3,3.8,9.7,31.4,11.4,599,132.7,,95.5,13.5,4.5,"1,099",3.1,5.2,23.78701036,0.68003,196,2.808425276,23,7.2,86.7,172,134.9,685,29.5,3.844307597,15,5.7,4.5,16.6,13,1,82.92688711,7.9,15.5,7833,7035,10.4,5.7,2.9,234,4071672,10.7,7.8,19.4,10.63676,41.1,48,0.29854,28.85,5.23,16.23,18.97032152,80.85,5.732789471,3.79,17.4,9.394825897,456,235,3689,36,1,223,4640,4.975366377,3.592548069,37.93369421,0.764371929,0.013897671,3.043590046,50.3234683,23.466,54.099,18.244,70.293,3.258,8.204,63.53,58.82,13.36,16.22,17.5,20.04,5.6,4.92,61.28,14.72,18.72,5.28,52.27,47.73,84.396,15.604,53,29.9,1.5,145.4,61,72,504,13,872,727,20,6.3
1,106,32.6,9.2,,12.3,6.3,14.3,27.7,8.5,1233,135.8,47166.24,96.6,13.3,4.3,"3,971",3.2,7.9,25.41485151,0.20792,132,2.053856686,22,6.4,90.2,188,121.2,1772,39.7,0.854028236,10,7.7,2.1,16.4,18,0,85.25296825,8.9,14.1,4482,3534,8.4,6.9,2.7,266,6210328,13.7,4.8,12.2,2.43309,41.2,36,0.236906,16.11,2.48,8.69,6.840375298,36.4,2.029561902,1.74,7.07,2.460075032,194,121,964,52,0,117,1448,1.325707101,0.826858553,6.587534253,0.355344171,0,0.799524385,9.894968463,19.512,41.474,55.385,20.67,3.472,20.473,65.26,56.84,13.94,17.62,16,20.52,4.79,5.02,61.83,15.44,17.85,4.88,59.22,40.78,90.503,9.497,26,4.4,1.6,98.5,52,78,891,10,943,844,30,2.9
1,107,41.2,8.3,968576,10.3,11.2,11.9,27.2,11.9,2561,127.9,,97,11.3,4.8,"6,860",4.8,10.9,24.38168558,0.79733,154,1.962607169,72,7.6,89.1,188,143.5,4083,35.5,4.39910153,142,8.2,2.2,20,190,2,83.75803489,9,14.7,4514,4815,12.4,7.1,3.3,506,8812489,16.6,5,12,9.74212,49.3,36,0.32126,24.92,5.85,10.5,6.341511829,29.88,1.488740421,3.31,5.48,1.624555337,201,152,946,63,1,148,1511,1.049953771,0.793994891,4.941573468,0.329089988,0.005223651,0.773100289,7.892936057,34.497,68.769,58.122,7.025,18.564,16.289,77.63,69.56,7.16,10.68,11.92,16.26,3.29,3.5,74.26,8.63,13.73,3.38,58.29,41.71,89.621,10.379,46,2.7,1.1,116.8,118,151,442,13,633,584,21,6.1
1,108,40,7.6,842261,11.1,7.8,12.8,29.2,11.7,2649,127.1,,97.3,14.3,4.3,"6,658",4,6.4,24.4781704,0.19823,101,2.480720488,11,6.6,88.6,238,130.9,3312,41.4,1.052269651,34,5.9,1,20.8,98,2,85.0132884,7.3,14.4,4432,4558,10.9,7.2,2.2,426,9157762,14.4,3.4,13.3,4.93274,46.5,40,0.295811,15.91,3.37,7.86,6.049859663,25.82,1.828279534,2.33,7.06,1.116261122,227,105,1343,81,0,97,1853,1.042762448,0.482335053,6.16929501,0.372087041,0,0.445585716,8.512065267,24.505,51.329,72.905,6.804,3.679,16.612,63.47,53.14,15.75,21.78,15.98,20.52,4.81,4.56,59.36,18.14,17.78,4.71,60.29,39.71,92.159,7.841,15,3.4,1.4,97.4,46,82,364,8,593,411,17,3.1
1,109,40.6,7.3,680160,9.8,10.7,22.4,22.2,10.4,1156,146.6,,94.4,17.9,5.9,"3,056",7.9,25.6,13.03207386,3.51918,127,11.12656467,76,17.6,76.6,164,176.1,6167,28.3,11.29278936,215,15.7,4.7,22.4,797,6,80.17418948,8.3,17.4,2631,3069,25.5,9.9,9.6,366,3961085,21.9,8,22,8.98568,38.8,52,0.223021,48.3,17.21,17.75,14.89389048,27.04,1.050888719,3.64,2.99,0.786276452,139,266,458,46,8,238,1155,1.050888719,2.011053232,3.462640528,0.347776123,0.060482804,1.799363418,8.732204825,18.773,41.616,36.05,8.021,30.317,25.612,85.67,79.26,2.83,4.43,8.99,12.54,2.51,3.77,83.11,3.47,10.41,3.01,60.06,39.94,79.982,20.018,206,9.5,9,179,258,329,788,48,1305,1296,65,14.7
1,110,41,10.4,4991414,9.6,10.6,21.1,20.4,13.2,1557,201.3,,86.6,18,8.2,"4,385",12.2,34.7,9.136803709,4.95656,114,7.644974828,154,12.3,80.5,180,237.8,5271,20.5,20.70755522,523,22.9,8.1,33.7,643,0,75.13925074,11.5,26.7,4363,5211,28.4,9.6,12.3,615,4588266,27.2,15.8,31.3,22.43741,41,50,0.244959,46.87,14.02,22.28,11.85585506,30.2,1.369391536,4.06,3.18,1.142380105,134,372,517,41,4,368,1436,0.981275218,2.724137173,3.785964835,0.300240925,0.029291798,2.694845376,10.51575533,25.415,56.256,68.495,6.464,5.613,19.428,88.65,83.37,2.23,3.11,6.87,9.64,2.25,3.88,86.67,2.56,7.91,2.86,62.44,37.56,82.624,17.376,336,17.3,7.5,293.1,436,520,1038,69,1544,1984,130,20.2
1,111,43.9,13.4,2015334,9.7,13.8,23.4,19.6,13.4,1651,180.2,,90.7,19.2,7.8,"4,782",12.2,35.3,9.060844603,6.81454,193,5.334626576,176,17.4,74.8,336,206.3,3060,23,19.30197432,517,21.6,6,29.2,534,6,76.03340474,10.2,30.9,5291,6473,32.8,10,10.3,576,4129892,24,16.6,34,25.15866,41.3,53,0.218958,35.38,7.61,14.88,9.605577756,30.67,1.989667107,3.03,4.57,1.437910682,197,526,598,48,9,452,1830,1.646909328,4.397331505,4.999247605,0.4012774,0.075239512,3.778695514,15.29870086,23.34,55.336,28.68,11.454,44.209,15.657,86.81,80.81,3.45,5.42,7.5,10.27,2.24,3.5,84.64,4.16,8.5,2.69,63.74,36.26,70.317,29.683,302,14.7,5,301,648,642,2016,75,2333,2822,143,28
1,112,37.4,9.1,2072348,9.5,17.5,21.6,20.4,12,2351,127.3,,90.5,11.9,5,"5,019",9.1,15.6,12.94904484,2.04194,188,13.43570058,77,11.2,78.1,119,146.2,16197,29.4,6.342616725,235,14.6,3.6,22.4,1914,5,83.24504399,7.4,17.4,4743,4606,21.8,8.5,6,449,8056179,18.1,6.9,31.6,26.72718,35.7,59,0.280565,75.21,21.02,20.01,17.28581188,48.33,1.196673812,2.8,4.31,0.216720454,277,362,739,103,3,348,1832,1.305034039,1.705495748,3.481661209,0.485265365,0.014133943,1.639537349,8.631127653,21.7,44.151,29.801,6.981,50.233,12.985,84.92,80.1,3.55,5.4,9.28,11.34,2.25,3.17,82.98,4.29,10.11,2.62,59.76,40.24,73.689,26.311,117,17.7,11,139.2,218,334,497,28,1055,779,48,5.7